,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,defaultPayment
0,2,2,1,24,2,2,-1,-1,-2,-2,3913,0,0,689,0,0,0,0,1
1,2,2,2,26,-1,2,0,0,0,2,2682,3261,0,1000,1000,1000,0,2000,1
2,2,2,2,34,0,0,0,0,0,0,29239,15549,1518,1500,1000,1000,1000,5000,0
3,2,2,1,37,0,0,0,0,0,0,46990,29547,2000,2019,1200,1100,1069,1000,0
4,1,2,1,57,-1,0,-1,0,0,0,8617,19131,2000,36681,10000,9000,689,679,0
5,1,1,2,37,0,0,0,0,0,0,64400,20024,2500,1815,657,1000,1000,800,0
6,1,1,2,29,0,0,0,0,0,0,367965,473944,55000,40000,38000,20239,13750,13770,0
7,2,2,2,23,0,-1,-1,0,0,-1,11876,567,380,601,0,581,1687,1542,0
8,2,3,1,28,0,0,2,0,0,0,11285,3719,3329,0,432,1000,1000,1000,0
9,1,3,2,35,-2,-2,-2,-2,-1,-1,0,13912,0,0,0,13007,1122,0,0
10,2,3,2,34,0,0,2,0,0,-1,11073,3731,2306,12,50,300,3738,66,0
11,2,1,2,51,-1,-1,-1,-1,-1,2,12261,13668,21818,9966,8583,22301,0,3640,0
12,2,2,2,41,-1,0,-1,-1,-1,-1,12137,2870,1000,6500,6500,6500,2870,0,0
13,1,2,2,30,1,2,2,0,0,2,65802,36894,3200,0,3000,3000,1500,0,1
14,1,1,2,29,0,0,0,0,0,0,70887,55512,3000,3000,3000,3000,3000,3000,0
15,2,3,3,23,1,2,0,0,0,0,50614,30211,0,1500,1100,1200,1300,1100,0
16,1,1,2,24,0,0,2,2,2,2,15376,19104,3200,0,1500,0,1650,0,1
17,1,1,1,49,0,0,0,-1,-1,-1,253286,195599,10358,10000,75940,20000,195599,50000,0
18,2,1,1,49,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
19,2,1,2,29,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0
20,2,3,2,39,0,0,0,0,0,-1,38358,930,3000,1537,1000,2000,930,33764,0
21,2,2,1,39,-1,-1,-1,-1,-1,-1,316,316,316,316,0,632,316,0,1
22,2,2,2,26,2,0,0,2,2,2,41087,46012,2007,3582,0,3601,0,1820,1
23,2,1,1,40,-2,-2,-2,-2,-2,-2,5512,0,19428,1473,560,0,0,1128,1
24,1,1,2,23,0,0,0,-1,0,0,4744,8292,5757,0,5398,1200,2045,2000,0
25,1,3,2,23,0,0,0,0,0,0,47620,30046,1973,1426,1001,1432,1062,997,0
26,1,1,2,27,1,-2,-1,-1,-1,-1,-109,-189,0,1000,0,500,0,1000,1
27,2,3,2,30,0,0,0,0,0,0,22541,19617,1300,1300,1000,1500,1000,1012,0
28,2,3,1,47,-1,-1,-1,-1,-1,-1,650,257,3415,3421,2044,30430,257,0,0
29,1,1,2,26,0,0,0,0,0,0,15329,11400,1500,1500,1000,1000,1600,0,0
30,2,1,2,27,-1,-1,-1,-1,-1,-1,16646,36923,17270,13281,15339,14307,37292,0,0
31,1,2,2,33,2,0,0,0,0,0,30518,23680,1718,1500,1000,1000,1000,716,1
32,1,1,2,32,0,0,0,0,0,0,93036,75589,3023,3511,3302,3204,3200,2504,0
33,2,2,1,54,-2,-2,-2,-2,-2,-2,10929,8981,4152,22827,7521,71439,981,51582,0
